transaction_id,date,type,category,party_name,amount,payment_method,status
TXN-1001,2026-08-01,EXPENSE,Rent,Commercial Realty Corp,35000.00,BANK_TRANSFER,PAID
TXN-1002,2026-08-02,SALE,Office Electronics,Aarav Sharma Tech Services,45780.00,UPI,PAID
TXN-1003,2026-08-03,PURCHASE,Hardware Inventory,Apex Wholesale Distributors,60000.00,BANK_TRANSFER,PAID
TXN-1004,2026-08-05,EXPENSE,Utilities,State Electricity Board,8450.00,UPI,PAID
TXN-1005,2026-08-06,EXPENSE,Utilities,Aarav Airtel Broadband,2500.00,UPI,PAID
TXN-1006,2026-08-08,SALE,Office Electronics,Apex Solutions Ltd,83930.00,BANK_TRANSFER,PAID
TXN-1007,2026-08-10,EXPENSE,Marketing,Meta Ads India,12000.00,CARD,PAID
TXN-1008,2026-08-12,PURCHASE,Packaging Supplies,Prime Packaging Solutions,42500.00,BANK_TRANSFER,PAID
TXN-1009,2026-08-15,EXPENSE,Logistics,BlueDart Express,3800.00,CASH,PAID
TXN-1010,2026-08-18,SALE,Stationery,Green Leaf Retail Store,20056.00,CASH,PAID
TXN-1011,2026-08-20,SALE,Maintenance Services,Priya Enterprises,34500.00,BANK_TRANSFER,PAID
TXN-1012,2026-08-22,EXPENSE,Office Supplies,Modern Stationers,4200.00,CASH,PAID
TXN-1013,2026-08-25,SALARY,Payroll,Staff Payroll August,103000.00,BANK_TRANSFER,PAID
TXN-1014,2026-08-28,SALE,Office Electronics,Apex Solutions Ltd,62400.00,UPI,PAID
